Simbolo,Empresa,Sector,Sub Industria
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
NTRS,Northern Trust,Financials,Asset Management & Custody Banks
NUE,Nucor,Materials,Steel
NVDA,Nvidia,Information Technology,Semiconductors
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
NWS,News Corp (Class B),Communication Services,Publishing
NWSA,News Corp (Class A),Communication Services,Publishing
NXPI,NXP Semiconductors,Information Technology,Semiconductors
O,Realty Income,Real Estate,Retail REITs
ODFL,Old Dominion,Industrials,Cargo Ground Transportation
OGN,Organon & Co.,Health Care,Pharmaceuticals
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation
OMC,Omnicom Group,Communication Services,Advertising
ON,ON Semiconductor,Information Technology,Semiconductors
ORCL,Oracle Corporation,Information Technology,Application Software
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
PARA,Paramount Global,Communication Services,Movies & Entertainment
PAYC,Paycom,Information Technology,Application Software
PAYX,Paychex,Industrials,Human Resource & Employment Services
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
PCG,PG&E Corporation,Utilities,Multi-Utilities
PEAK,Healthpeak,Real Estate,Health Care REITs
PEG,Public Service Enterprise Group,Utilities,Electric Utilities
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,Pfizer,Health Care,Pharmaceuticals
PFG,Principal Financial Group,Financials,Life & Health Insurance
PG,Procter & Gamble,Consumer Staples,Personal Care Products
PGR,Progressive Corporation,Financials,Property & Casualty Insurance
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
PHM,PulteGroup,Consumer Discretionary,Homebuilding
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
PKI,PerkinElmer,Health Care,Health Care Equipment
PLD,Prologis,Real Estate,Industrial REITs
PM,Philip Morris International,Consumer Staples,Tobacco
PNC,PNC Financial Services,Financials,Regional Banks
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components
PNW,Pinnacle West,Utilities,Multi-Utilities
PODD,Insulet,Health Care,Health Care Equipment
POOL,Pool Corporation,Consumer Discretionary,Distributors
PPG,PPG Industries,Materials,Specialty Chemicals
PPL,PPL Corporation,Utilities,Electric Utilities
PRU,Prudential Financial,Financials,Life & Health Insurance
PSA,Public Storage,Real Estate,Self-Storage REITs
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PTC,PTC,Information Technology,Application Software
PWR,Quanta Services,Industrials,Construction & Engineering
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
PYPL,PayPal,Financials,Transaction & Payment Processing Services
QCOM,Qualcomm,Information Technology,Semiconductors
QRVO,Qorvo,Information Technology,Semiconductors
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
RE,Everest Re,Financials,Reinsurance
REG,Regency Centers,Real Estate,Retail REITs
REGN,Regeneron,Health Care,Biotechnology
RF,Regions Financial Corporation,Financials,Regional Banks
RHI,Robert Half,Industrials,Human Resource & Employment Services
RJF,Raymond James,Financials,Investment Banking & Brokerage
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RMD,ResMed,Health Care,Health Care Equipment
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
RSG,Republic Services,Industrials,Environmental & Facilities Services
RTX,Raytheon Technologies,Industrials,Aerospace & Defense
SBAC,SBA Communications,Real Estate,Telecom Tower REITs
SBUX,Starbucks,Consumer Discretionary,Restaurants
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment
SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials
SHW,Sherwin-Williams,Materials,Specialty Chemicals
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components
SNPS,Synopsys,Information Technology,Application Software
SO,Southern Company,Utilities,Electric Utilities
SPG,Simon Property Group,Real Estate,Retail REITs
SPGI,S&P Global,Financials,Financial Exchanges & Data
SRE,Sempra Energy,Utilities,Multi-Utilities
STE,Steris,Health Care,Health Care Equipment
STLD,Steel Dynamics,Materials,Steel
STT,State Street Corporation,Financials,Asset Management & Custody Banks
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SYF,Synchrony Financial,Financials,Consumer Finance
SYK,Stryker Corporation,Health Care,Health Care Equipment
SYY,Sysco,Consumer Staples,Food Distributors
T,AT&T,Communication Services,Integrated Telecommunication Services
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
TDG,TransDigm Group,Industrials,Aerospace & Defense
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment
TFC,Truist,Financials,Regional Banks
TFX,Teleflex,Health Care,Health Care Equipment
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
TT,Trane Technologies,Industrials,Building Products
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TXN,Texas Instruments,Information Technology,Semiconductors
TXT,Textron,Industrials,Aerospace & Defense
TYL,Tyler Technologies,Information Technology,Application Software
UAL,United Airlines Holdings,Industrials,Passenger Airlines
UDR,"UDR, Inc.",Real Estate,Residential REITs
UHS,Universal Health Services,Health Care,Health Care Facilities
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores
UNH,UnitedHealth Group,Health Care,Managed Health Care
UNP,Union Pacific Corporation,Industrials,Rail Transportation
UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,United Rentals,Industrials,Trading Companies & Distributors
USB,U.S. Bank,Financials,Diversified Banks
V,Visa Inc.,Financials,Transaction & Payment Processing Services
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VICI,Vici Properties,Real Estate,Hotel & Resort REITs
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
VMC,Vulcan Materials Company,Materials,Construction Materials
VRSK,Verisk,Industrials,Research & Consulting Services
VRSN,Verisign,Information Technology,Internet Services & Infrastructure
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
VTR,Ventas,Real Estate,Health Care REITs
VTRS,Viatris,Health Care,Pharmaceuticals
VZ,Verizon,Communication Services,Integrated Telecommunication Services
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment
WAT,Waters Corporation,Health Care,Health Care Distributors
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
WBD,Warner Bros. Discovery,Communication Services,Broadcasting
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
WEC,WEC Energy Group,Utilities,Electric Utilities
WELL,Welltower,Real Estate,Health Care REITs
WFC,Wells Fargo,Financials,Diversified Banks
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances
WM,Waste Management,Industrials,Environmental & Facilities Services
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
WRB,Berkley,Financials,Property & Casualty Insurance
WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WTW,Willis Towers Watson,Financials,Insurance Brokers
WY,Weyerhaeuser,Real Estate,Timber REITs
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy,Utilities,Multi-Utilities
XOM,ExxonMobil,Energy,Integrated Oil & Gas
XRAY,Dentsply Sirona,Health Care,Health Care Supplies
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components
YUM,Yum! Brands,Consumer Discretionary,Restaurants
ZBH,Zimmer Biomet,Health Care,Health Care Equipment
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
ZION,Zions Bancorporation,Financials,Regional Banks
ZTS,Zoetis,Health Care,Pharmaceuticals
=======
Simbolo,Empresa,Sector,Sub Industria
A,Agilent Technologies,Health Care,Health Care Equipment
AAL,American Airlines Group,Industrials,Passenger Airlines
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,AbbVie,Health Care,Pharmaceuticals
ABC,AmerisourceBergen,Health Care,Health Care Distributors
ABT,Abbott,Health Care,Health Care Equipment
ACGL,Arch Capital Group,Financials,Reinsurance
ACN,Accenture,Information Technology,IT Consulting & Other Services
ADBE,Adobe Inc.,Information Technology,Application Software
ADI,Analog Devices,Information Technology,Semiconductors
ADM,ADM,Consumer Staples,Agricultural Products & Services
ADP,ADP,Industrials,Human Resource & Employment Services
ADSK,Autodesk,Information Technology,Application Software
AEE,Ameren,Utilities,Multi-Utilities
AEP,American Electric Power,Utilities,Electric Utilities
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac,Financials,Life & Health Insurance
AIG,American International Group,Financials,Property & Casualty Insurance
AIZ,Assurant,Financials,Multi-line Insurance
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AKAM,Akamai,Information Technology,Internet Services & Infrastructure
ALB,Albemarle Corporation,Materials,Specialty Chemicals
ALGN,Align Technology,Health Care,Health Care Supplies
ALK,Alaska Air Group,Industrials,Passenger Airlines
ALL,Allstate,Financials,Property & Casualty Insurance
ALLE,Allegion,Industrials,Building Products
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials
AMD,AMD,Information Technology,Semiconductors
AME,Ametek,Industrials,Electrical Components & Equipment
AMGN,Amgen,Health Care,Biotechnology
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
AMT,American Tower,Real Estate,Telecom Tower REITs
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail
ANET,Arista Networks,Information Technology,Communications Equipment
ANSS,Ansys,Information Technology,Application Software
AON,Aon,Financials,Insurance Brokers
AOS,A. O. Smith,Industrials,Building Products
APA,APA Corporation,Energy,Oil & Gas Exploration & Production
APD,Air Products and Chemicals,Materials,Industrial Gases
APH,Amphenol,Information Technology,Electronic Components
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ATO,Atmos Energy,Utilities,Gas Utilities
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
AVB,AvalonBay Communities,Real Estate,Residential REITs
AVGO,Broadcom Inc.,Information Technology,Semiconductors
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AWK,American Water Works,Utilities,Water Utilities
AXP,American Express,Financials,Consumer Finance
AZO,AutoZone,Consumer Discretionary,Specialty Stores
BA,Boeing,Industrials,Aerospace & Defense
BAC,Bank of America,Financials,Diversified Banks
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAX,Baxter International,Health Care,Health Care Equipment
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BDX,Becton Dickinson,Health Care,Health Care Equipment
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners
BG,Bunge Limited,Consumer Staples,Agricultural Products & Services
BIIB,Biogen,Health Care,Biotechnology
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services
BK,BNY Mellon,Financials,Asset Management & Custody Banks
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BLK,BlackRock,Financials,Asset Management & Custody Banks
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BRO,Brown & Brown,Financials,Insurance Brokers
BSX,Boston Scientific,Health Care,Health Care Equipment
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment
BXP,Boston Properties,Real Estate,Office REITs
C,Citigroup,Financials,Diversified Banks
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
CAH,Cardinal Health,Health Care,Health Care Distributors
CARR,Carrier Global,Industrials,Building Products
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CB,Chubb Limited,Financials,Property & Casualty Insurance
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
CBRE,CBRE Group,Real Estate,Real Estate Services
CCI,Crown Castle,Real Estate,Telecom Tower REITs
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CDAY,Ceridian,Information Technology,Application Software
CDNS,Cadence Design Systems,Information Technology,Application Software
CDW,CDW,Information Technology,Technology Distributors
CE,Celanese,Materials,Specialty Chemicals
CEG,Constellation Energy,Utilities,Multi-Utilities
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
CFG,Citizens Financial Group,Financials,Regional Banks
CHD,Church & Dwight,Consumer Staples,Household Products
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics
CHTR,Charter Communications,Communication Services,Cable & Satellite
CI,Cigna,Health Care,Managed Health Care
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
CL,Colgate-Palmolive,Consumer Staples,Household Products
CLX,Clorox,Consumer Staples,Household Products
CMA,Comerica,Financials,Diversified Banks
CMCSA,Comcast,Communication Services,Cable & Satellite
CME,CME Group,Financials,Financial Exchanges & Data
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CMI,Cummins,Industrials,Industrial Machinery & Supplies & Components
CMS,CMS Energy,Utilities,Multi-Utilities
CNC,Centene Corporation,Health Care,Managed Health Care
CNP,CenterPoint Energy,Utilities,Multi-Utilities
COF,Capital One,Financials,Consumer Finance
COO,CooperCompanies,Health Care,Health Care Supplies
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats
CPRT,Copart,Industrials,Diversified Support Services
CPT,Camden Property Trust,Real Estate,Residential REITs
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services
CRM,Salesforce,Information Technology,Application Software
CSCO,Cisco,Information Technology,Communications Equipment
CSGP,CoStar Group,Industrials,Research & Consulting Services
CSX,CSX,Industrials,Rail Transportation
CTAS,Cintas,Industrials,Diversified Support Services
CTLT,Catalent,Health Care,Pharmaceuticals
CTRA,Coterra,Energy,Oil & Gas Exploration & Production
CTSH,Cognizant,Information Technology,IT Consulting & Other Services
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals
CVS,CVS Health,Health Care,Health Care Services
CVX,Chevron Corporation,Energy,Integrated Oil & Gas
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
D,Dominion Energy,Utilities,Electric Utilities
DAL,Delta Air Lines,Industrials,Passenger Airlines
DD,DuPont,Materials,Specialty Chemicals
DE,John Deere,Industrials,Agricultural & Farm Machinery
DFS,Discover Financial,Financials,Consumer Finance
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail
DGX,Quest Diagnostics,Health Care,Health Care Services
DHI,D.R. Horton,Consumer Discretionary,Homebuilding
DHR,Danaher Corporation,Health Care,Health Care Equipment
DIS,Disney,Communication Services,Movies & Entertainment
DISH,Dish Network,Communication Services,Cable & Satellite
DLR,Digital Realty,Real Estate,Data Center REITs
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components
DOW,Dow Inc.,Materials,Commodity Chemicals
DPZ,Domino's,Consumer Discretionary,Restaurants
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
DTE,DTE Energy,Utilities,Multi-Utilities
DUK,Duke Energy,Utilities,Electric Utilities
DVA,DaVita Inc.,Health Care,Health Care Facilities
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
DXC,DXC Technology,Information Technology,IT Consulting & Other Services
DXCM,Dexcom,Health Care,Health Care Equipment
EA,Electronic Arts,Communication Services,Interactive Home Entertainment
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail
ECL,Ecolab,Materials,Specialty Chemicals
ED,Consolidated Edison,Utilities,Electric Utilities
EFX,Equifax,Industrials,Research & Consulting Services
EIX,Edison International,Utilities,Electric Utilities
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products
ELV,Elevance Health,Health Care,Managed Health Care
EMN,Eastman Chemical Company,Materials,Diversified Chemicals
EMR,Emerson Electric,Industrials,Electrical Components & Equipment
ENPH,Enphase,Information Technology,Electronic Components
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services
EQIX,Equinix,Real Estate,Data Center REITs
EQR,Equity Residential,Real Estate,Residential REITs
EQT,EQT,Energy,Oil & Gas Exploration & Production
ES,Eversource,Utilities,Multi-Utilities
ESS,Essex Property Trust,Real Estate,Residential REITs
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
ETR,Entergy,Utilities,Electric Utilities
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail
