Unnamed: 0,Empresa,Retorno anual,Nombre,Sector,Industria
252,JBHT,0.2415974649980938,J.B. Hunt,Industrials,Cargo Ground Transportation
253,JCI,0.1043641526749166,Johnson Controls,Industrials,Building Products
254,JKHY,0.1828394692563619,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
255,JNJ,0.1036430823508238,Johnson & Johnson,Health Care,Pharmaceuticals
256,JNPR,0.2000970727634181,Juniper Networks,Information Technology,Communications Equipment
257,JPM,0.1519955125219194,JPMorgan Chase,Financials,Diversified Banks
258,K,0.0857372601531933,Kellogg's,Consumer Staples,Packaged Foods & Meats
259,KDP,0.2194896933520844,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
260,KEY,0.1007597533757915,KeyCorp,Financials,Regional Banks
261,KEYS,0.2846203840563448,Keysight,Information Technology,Electronic Equipment & Instruments
262,KHC,-0.000227120677022,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
263,KIM,0.1448721369073169,Kimco Realty,Real Estate,Retail REITs
264,KLAC,0.2855241531441874,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
265,KMB,0.0983623867711207,Kimberly-Clark,Consumer Staples,Household Products
266,KMI,0.0424667147316324,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
267,KMX,0.2755890116848389,CarMax,Consumer Discretionary,Automotive Retail
268,KO,0.0773213027195274,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages
269,KR,0.1133372658171665,Kroger,Consumer Staples,Food Retail
270,L,0.1057129789928379,Loews Corporation,Financials,Multi-line Insurance
271,LDOS,0.1289679639274155,Leidos,Industrials,Diversified Support Services
272,LEN,0.239390198803536,Lennar,Consumer Discretionary,Homebuilding
273,LH,0.2530197065981836,LabCorp,Health Care,Health Care Services
274,LHX,0.1937633531703675,L3Harris,Industrials,Aerospace & Defense
275,LIN,0.1965907247886393,Linde plc,Materials,Industrial Gases
276,LKQ,0.2674941514154023,LKQ Corporation,Consumer Discretionary,Distributors
277,LLY,0.131147510097868,Eli Lilly and Company,Health Care,Pharmaceuticals
278,LMT,0.1761206095378891,Lockheed Martin,Industrials,Aerospace & Defense
279,LNC,0.1470028772544152,Lincoln Financial,Financials,Multi-line Insurance
280,LNT,0.1258041634284976,Alliant Energy,Utilities,Electric Utilities
281,LOW,0.1971269308141192,Lowe's,Consumer Discretionary,Home Improvement Retail
282,LRCX,0.3775109734954456,Lam Research,Information Technology,Semiconductor Materials & Equipment
283,LUV,0.1212108452394411,Southwest Airlines,Industrials,Passenger Airlines
284,LVS,0.232759549324437,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
285,LW,0.2905823334212352,Lamb Weston,Consumer Staples,Packaged Foods & Meats
286,LYB,0.2563357140422149,LyondellBasell,Materials,Specialty Chemicals
287,LYV,0.2480383191951483,Live Nation Entertainment,Communication Services,Movies & Entertainment
288,MA,0.3780075733217416,Mastercard,Financials,Transaction & Payment Processing Services
289,MAA,0.189230214115502,Mid-America Apartment Communities,Real Estate,Residential REITs
290,MAR,0.1846262129777427,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
291,MAS,0.1268888196575446,Masco,Industrials,Building Products
292,MCD,0.1417070855037725,McDonald's,Consumer Discretionary,Restaurants
293,MCHP,0.2561437192928322,Microchip Technology,Information Technology,Semiconductors
294,MCK,0.1343527573115888,McKesson,Health Care,Health Care Distributors
295,MCO,0.2240495421849284,Moody's Corporation,Financials,Financial Exchanges & Data
296,MDLZ,0.1081627817750947,Mondelez International,Consumer Staples,Packaged Foods & Meats
297,MDT,0.0865595611478138,Medtronic,Health Care,Health Care Equipment
298,MET,0.1774399356242668,MetLife,Financials,Life & Health Insurance
299,META,0.2692474706108305,Meta Platforms,Communication Services,Interactive Media & Services
300,MGM,0.2459294706277197,MGM Resorts,Consumer Discretionary,Casinos & Gaming
301,MHK,0.1176148420028775,Mohawk Industries,Consumer Discretionary,Home Furnishings
302,MKC,0.1432483506962274,McCormick & Company,Consumer Staples,Packaged Foods & Meats
303,MKTX,0.3209514744012154,MarketAxess,Financials,Financial Exchanges & Data
304,MLM,0.1542857181254349,Martin Marietta Materials,Materials,Construction Materials
305,MMC,0.1395225330769953,Marsh McLennan,Financials,Insurance Brokers
306,MMM,0.1017561732794611,3M,Industrials,Industrial Conglomerates
307,MNST,0.4702138471867192,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
308,MO,0.1542903012656693,Altria,Consumer Staples,Tobacco
309,MOH,0.2762697603992898,Molina Healthcare,Health Care,Managed Health Care
310,MOS,0.1674359436351296,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
311,MPC,0.319070494121096,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
312,MPWR,0.3853415795453188,Monolithic Power Systems,Information Technology,Semiconductors
313,MRK,0.0921338228552672,Merck & Co.,Health Care,Pharmaceuticals
314,MRNA,1.2067673182002427,Moderna,Health Care,Biotechnology
315,MRO,0.1752221288283459,Marathon Oil,Energy,Oil & Gas Exploration & Production
316,MS,0.1896404069945154,Morgan Stanley,Financials,Investment Banking & Brokerage
317,MSCI,0.3118196960854615,MSCI,Financials,Financial Exchanges & Data
318,MSFT,0.1660282641462018,Microsoft,Information Technology,Systems Software
319,MSI,0.1562042292466432,Motorola Solutions,Information Technology,Communications Equipment
320,MTB,0.1165476092346033,M&T Bank,Financials,Regional Banks
321,MTCH,0.2063066338096923,Match Group,Communication Services,Interactive Media & Services
322,MTD,0.2371071657571883,Mettler Toledo,Health Care,Life Sciences Tools & Services
323,MU,0.2218161804573746,Micron Technology,Information Technology,Semiconductors
324,NCLH,0.1001620741920343,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
325,NDAQ,0.2172111188812999,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
326,NDSN,0.216193445186984,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
327,NEE,0.1674188512426238,NextEra Energy,Utilities,Multi-Utilities
328,NEM,0.1491140998481537,Newmont,Materials,Gold
329,NFLX,0.5425660252916673,Netflix,Communication Services,Movies & Entertainment
330,NI,0.1117481366963102,NiSource,Utilities,Multi-Utilities
331,NKE,0.2098975632599762,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
332,NOC,0.1781979372373006,Northrop Grumman,Industrials,Aerospace & Defense
333,NOW,0.4261397333214052,ServiceNow,Information Technology,Systems Software
334,NRG,0.155719060354182,NRG Energy,Utilities,Independent Power Producers & Energy Traders
335,NSC,0.1641261608708768,Norfolk Southern Railway,Industrials,Rail Transportation
336,NTAP,0.2715505023971349,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
337,NTRS,0.1125104806998065,Northern Trust,Financials,Asset Management & Custody Banks
338,NUE,0.2373608105638851,Nucor,Materials,Steel
339,NVDA,0.5754840178250813,Nvidia,Information Technology,Semiconductors
340,NVR,0.2961810599976546,"NVR, Inc.",Consumer Discretionary,Homebuilding
341,NWL,0.0466326868975459,Newell Brands,Consumer Discretionary,Housewares & Specialties
342,NWS,0.0629907508714768,News Corp (Class B),Communication Services,Publishing
343,NWSA,0.061076752044493,News Corp (Class A),Communication Services,Publishing
344,NXPI,0.3491700871980576,NXP Semiconductors,Information Technology,Semiconductors
345,O,0.1839137380326327,Realty Income,Real Estate,Retail REITs
346,ODFL,0.396537477426879,Old Dominion,Industrials,Cargo Ground Transportation
347,OGN,-0.1161675169119363,Organon & Co.,Health Care,Pharmaceuticals
348,OKE,0.2139644581940729,ONEOK,Energy,Oil & Gas Storage & Transportation
349,OMC,0.1173276812251922,Omnicom Group,Communication Services,Advertising
350,ON,0.2704301155350754,ON Semiconductor,Information Technology,Semiconductors
351,ORCL,0.2100522372676929,Oracle Corporation,Information Technology,Application Software
352,ORLY,0.261134299750237,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores
353,OTIS,0.2796826909579444,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
354,OXY,0.2171231970466396,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
355,PARA,0.1109782601957627,Paramount Global,Communication Services,Movies & Entertainment
356,PAYC,0.5345973329255118,Paycom,Information Technology,Application Software
357,PAYX,0.1490409970502546,Paychex,Industrials,Human Resource & Employment Services
358,PCAR,0.2217285365020729,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
359,PCG,0.1178985602489637,PG&E Corporation,Utilities,Multi-Utilities
360,PEAK,0.1417507921529361,Healthpeak,Real Estate,Health Care REITs
361,PEG,0.1246372892191154,Public Service Enterprise Group,Utilities,Electric Utilities
362,PEP,0.1130979629378372,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
363,PFE,0.0704809400666726,Pfizer,Health Care,Pharmaceuticals
364,PFG,0.2006243952135571,Principal Financial Group,Financials,Life & Health Insurance
365,PG,0.1036063253028709,Procter & Gamble,Consumer Staples,Personal Care Products
366,PGR,0.1751226560829699,Progressive Corporation,Financials,Property & Casualty Insurance
367,PH,0.1989815615201096,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
368,PHM,0.2220540402650344,PulteGroup,Consumer Discretionary,Homebuilding
369,PKG,0.2025292303944224,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
370,PKI,0.1852500726598454,PerkinElmer,Health Care,Health Care Equipment
371,PLD,0.1969177183712076,Prologis,Real Estate,Industrial REITs
372,PM,0.1226827246323216,Philip Morris International,Consumer Staples,Tobacco
373,PNC,0.1421744216414808,PNC Financial Services,Financials,Regional Banks
374,PNR,0.1349732308652791,Pentair,Industrials,Industrial Machinery & Supplies & Components
375,PNW,0.099184722797851,Pinnacle West,Utilities,Multi-Utilities
376,PODD,0.3820841067038389,Insulet,Health Care,Health Care Equipment
377,POOL,0.3011898456185511,Pool Corporation,Consumer Discretionary,Distributors
378,PPG,0.1328048831872348,PPG Industries,Materials,Specialty Chemicals
379,PPL,0.109902998494531,PPL Corporation,Utilities,Electric Utilities
380,PRU,0.1835059671208199,Prudential Financial,Financials,Life & Health Insurance
381,PSA,0.1938699138821638,Public Storage,Real Estate,Self-Storage REITs
382,PSX,0.2031072138788008,Phillips 66,Energy,Oil & Gas Refining & Marketing
383,PTC,0.1935572001794068,PTC,Information Technology,Application Software
384,PWR,0.270438534498477,Quanta Services,Industrials,Construction & Engineering
385,PXD,0.2658450738355409,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
386,PYPL,0.1802014684318853,PayPal,Financials,Transaction & Payment Processing Services
387,QCOM,0.3053593473406204,Qualcomm,Information Technology,Semiconductors
388,QRVO,0.1491670513099616,Qorvo,Information Technology,Semiconductors
389,RCL,0.1878110149330811,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
390,RE,0.1619768886127672,Everest Re,Financials,Reinsurance
391,REG,0.1562665867137638,Regency Centers,Real Estate,Retail REITs
392,REGN,0.4480581681596254,Regeneron,Health Care,Biotechnology
393,RF,0.1292974881531714,Regions Financial Corporation,Financials,Regional Banks
394,RHI,0.1491485683661608,Robert Half,Industrials,Human Resource & Employment Services
395,RJF,0.2226650477718308,Raymond James,Financials,Investment Banking & Brokerage
396,RL,0.1731187088471504,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
397,RMD,0.2608229887517463,ResMed,Health Care,Health Care Equipment
398,ROK,0.2224486281063522,Rockwell Automation,Industrials,Electrical Components & Equipment
399,ROL,0.2284585042957758,"Rollins, Inc.",Industrials,Environmental & Facilities Services
400,ROP,0.2321636363598753,Roper Technologies,Information Technology,Electronic Equipment & Instruments
401,ROST,0.2536879649337535,Ross Stores,Consumer Discretionary,Apparel Retail
402,RSG,0.1665997731504407,Republic Services,Industrials,Environmental & Facilities Services
403,RTX,0.1418201962184135,Raytheon Technologies,Industrials,Aerospace & Defense
404,SBAC,0.3703898845574875,SBA Communications,Real Estate,Telecom Tower REITs
405,SBUX,0.2345696690247474,Starbucks,Consumer Discretionary,Restaurants
406,SCHW,0.1683787503207565,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
407,SEDG,0.703316560033503,SolarEdge,Information Technology,Semiconductor Materials & Equipment
408,SEE,0.1083043137831039,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials
409,SHW,0.2029161162305157,Sherwin-Williams,Materials,Specialty Chemicals
410,SJM,0.1396937778451692,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats
411,SLB,0.13439199644222,Schlumberger,Energy,Oil & Gas Equipment & Services
412,SNA,0.1589114069292312,Snap-on,Industrials,Industrial Machinery & Supplies & Components
413,SNPS,0.1884165313148866,Synopsys,Information Technology,Application Software
414,SO,0.1320995654461325,Southern Company,Utilities,Electric Utilities
415,SPG,0.1879212823759519,Simon Property Group,Real Estate,Retail REITs
416,SPGI,0.186143502019902,S&P Global,Financials,Financial Exchanges & Data
417,SRE,0.1492746716346473,Sempra Energy,Utilities,Multi-Utilities
418,STE,0.1569722485214586,Steris,Health Care,Health Care Equipment
419,STLD,0.3223898881431741,Steel Dynamics,Materials,Steel
420,STT,0.1488782034737539,State Street Corporation,Financials,Asset Management & Custody Banks
421,STX,0.2492949248058875,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
422,STZ,0.2140379502968163,Constellation Brands,Consumer Staples,Distillers & Vintners
423,SWK,0.1273433403522439,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components
424,SWKS,0.3434784497066545,Skyworks Solutions,Information Technology,Semiconductors
425,SYF,0.1246013634807794,Synchrony Financial,Financials,Consumer Finance
426,SYK,0.1906056859012217,Stryker Corporation,Health Care,Health Care Equipment
427,SYY,0.1392074108076606,Sysco,Consumer Staples,Food Distributors
428,T,0.0715815432138544,AT&T,Communication Services,Integrated Telecommunication Services
429,TAP,0.0881181714182297,Molson Coors Beverage Company,Consumer Staples,Brewers
430,TDG,0.3580926347603603,TransDigm Group,Industrials,Aerospace & Defense
431,TDY,0.2846966159563369,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
432,TECH,0.2338546692325986,Bio-Techne,Health Care,Life Sciences Tools & Services
433,TEL,0.1579554571662806,TE Connectivity,Information Technology,Electronic Manufacturing Services
434,TER,0.2232009492422091,Teradyne,Information Technology,Semiconductor Materials & Equipment
435,TFC,0.0916053032085344,Truist,Financials,Regional Banks
436,TFX,0.1327064850995314,Teleflex,Health Care,Health Care Equipment
437,TGT,0.1563386659803327,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail
438,TJX,0.2036895759375032,TJX Companies,Consumer Discretionary,Apparel Retail
439,TMO,0.2159800726783944,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
440,TMUS,0.1779667462272074,T-Mobile US,Communication Services,Wireless Telecommunication Services
441,TPR,0.2689593938735746,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
442,TRGP,0.2998724918374489,Targa Resources,Energy,Oil & Gas Storage & Transportation
443,TRMB,0.3010590494560239,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
444,TROW,0.1846670637313243,T. Rowe Price,Financials,Asset Management & Custody Banks
445,TRV,0.1424690554799497,Travelers Companies (The),Financials,Property & Casualty Insurance
446,TSCO,0.3386265317660024,Tractor Supply,Consumer Discretionary,Specialty Stores
447,TSLA,0.7152552592253982,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
448,TSN,0.1233914092665857,Tyson Foods,Consumer Staples,Packaged Foods & Meats
449,TT,0.1948029927898646,Trane Technologies,Industrials,Building Products
450,TTWO,0.2947695077290204,Take-Two Interactive,Communication Services,Interactive Home Entertainment
451,TXN,0.1974584371612902,Texas Instruments,Information Technology,Semiconductors
452,TXT,0.1281229771462426,Textron,Industrials,Aerospace & Defense
453,TYL,0.320324163561269,Tyler Technologies,Information Technology,Application Software
454,UAL,0.2588082267325768,United Airlines Holdings,Industrials,Passenger Airlines
455,UDR,0.1712477107531509,"UDR, Inc.",Real Estate,Residential REITs
456,UHS,0.1657481095207424,Universal Health Services,Health Care,Health Care Facilities
457,ULTA,0.3474016617515312,Ulta Beauty,Consumer Discretionary,Specialty Stores
458,UNH,0.2763915035397426,UnitedHealth Group,Health Care,Managed Health Care
459,UNP,0.1930711069439561,Union Pacific Corporation,Industrials,Rail Transportation
460,UPS,0.1026982322576277,United Parcel Service,Industrials,Air Freight & Logistics
461,URI,0.2616010791805634,United Rentals,Industrials,Trading Companies & Distributors
462,USB,0.1020749679762267,U.S. Bank,Financials,Diversified Banks
463,V,0.2650031390855136,Visa Inc.,Financials,Transaction & Payment Processing Services
464,VFC,0.1083992689505037,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
465,VICI,0.2176516513240332,Vici Properties,Real Estate,Hotel & Resort REITs
466,VLO,0.2757286435171915,Valero Energy,Energy,Oil & Gas Refining & Marketing
467,VMC,0.1359670672298196,Vulcan Materials Company,Materials,Construction Materials
468,VRSK,0.1857222486157217,Verisk,Industrials,Research & Consulting Services
469,VRSN,0.2984941410864461,Verisign,Information Technology,Internet Services & Infrastructure
470,VRTX,0.3188544396413788,Vertex Pharmaceuticals,Health Care,Biotechnology
471,VTR,0.2024749708582103,Ventas,Real Estate,Health Care REITs
472,VTRS,0.06670352785035,Viatris,Health Care,Pharmaceuticals
473,VZ,0.0680501149686971,Verizon,Communication Services,Integrated Telecommunication Services
474,WAB,0.1754729211676624,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment
475,WAT,0.1950548910999392,Waters Corporation,Health Care,Health Care Distributors
476,WBA,0.0695032919133169,Walgreens Boots Alliance,Consumer Staples,Drug Retail
477,WBD,0.115430559759212,Warner Bros. Discovery,Communication Services,Broadcasting
478,WDC,0.2450767249202425,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
479,WEC,0.1367415710093953,WEC Energy Group,Utilities,Electric Utilities
480,WELL,0.160743032234246,Welltower,Real Estate,Health Care REITs
481,WFC,0.1329960452451506,Wells Fargo,Financials,Diversified Banks
482,WHR,0.1429886195613423,Whirlpool Corporation,Consumer Discretionary,Household Appliances
483,WM,0.1150667999336687,Waste Management,Industrials,Environmental & Facilities Services
484,WMB,0.2216388772994266,Williams Companies,Energy,Oil & Gas Storage & Transportation
485,WMT,0.1046088809283094,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
486,WRB,0.1937514993918967,Berkley,Financials,Property & Casualty Insurance
487,WRK,0.0157395667597337,WestRock,Materials,Paper & Plastic Packaging Products & Materials
488,WST,0.2291749870878761,West Pharmaceutical Services,Health Care,Health Care Supplies
489,WTW,0.1413130133688322,Willis Towers Watson,Financials,Insurance Brokers
490,WY,0.1163055997626794,Weyerhaeuser,Real Estate,Timber REITs
491,WYNN,0.297116611744685,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
492,XEL,0.1210860857017983,Xcel Energy,Utilities,Multi-Utilities
493,XOM,0.1159627275784327,ExxonMobil,Energy,Integrated Oil & Gas
494,XRAY,0.1125554140409585,Dentsply Sirona,Health Care,Health Care Supplies
495,XYL,0.1889025957167391,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components
496,YUM,0.1837033965717398,Yum! Brands,Consumer Discretionary,Restaurants
497,ZBH,0.1188970679827785,Zimmer Biomet,Health Care,Health Care Equipment
498,ZBRA,0.2248476776342372,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
499,ZION,0.0883614844879565,Zions Bancorporation,Financials,Regional Banks
500,ZTS,0.2264573995841563,Zoetis,Health Care,Pharmaceuticals
